1;TADEJ POGAČAR;UAE TEAM EMIRATES;83h 38' 56'';-
2;JONAS VINGEGAARD HANSEN;TEAM VISMA | LEASE A BIKE;83h 45' 13'';+ 00h 06' 17''
3;REMCO EVENEPOEL;SOUDAL QUICK-STEP;83h 48' 14'';+ 00h 09' 18''
4;JOAO ALMEIDA;UAE TEAM EMIRATES;83h 57' 59'';+ 00h 19' 03''
5;MIKEL LANDA MEANA;SOUDAL QUICK-STEP;83h 59' 02'';+ 00h 20' 06''
6;ADAM YATES;UAE TEAM EMIRATES;84h 03' 03'';+ 00h 24' 07''
7;CARLOS RODRIGUEZ;INEOS GRENADIERS;84h 04' 00'';+ 00h 25' 04''
8;MATTEO JORGENSON;TEAM VISMA | LEASE A BIKE;84h 05' 30'';+ 00h 26' 34''
9;DEREK GEE;ISRAEL - PREMIER TECH;84h 06' 17'';+ 00h 27' 21''
10;SANTIAGO BUITRAGO SANCHEZ;BAHRAIN VICTORIOUS;84h 07' 59'';+ 00h 29' 03''
11;GIULIO CICCONE;LIDL-TREK;84h 09' 38'';+ 00h 30' 42''
12;SIMON YATES;TEAM JAYCO ALULA;84h 18' 00'';+ 00h 39' 04''
13;GUILLAUME MARTIN GUYONNET;COFIDIS;84h 22' 45'';+ 00h 43' 49''
14;FELIX GALL;DECATHLON AG2R LA MONDIALE TEAM;84h 25' 08'';+ 00h 46' 12''
15;LAURENS DE PLUS;INEOS GRENADIERS;84h 25' 20'';+ 00h 46' 24''
16;STEFF CRAS;TOTALENERGIES;84h 28' 14'';+ 00h 49' 18''
17;RICHARD CARAPAZ;EF EDUCATION - EASYPOST;84h 28' 20'';+ 00h 49' 24''
18;JAI HINDLEY;RED BULL - BORA - HANSGROHE;84h 36' 00'';+ 00h 57' 04''
19;ENRIC MAS NICOLAU;MOVISTAR TEAM;84h 50' 01'';+ 01h 11' 05''
20;LOUIS MEINTJES;INTERMARCHÉ - WANTY;84h 50' 46'';+ 01h 11' 50''
21;WILCO KELDERMAN;TEAM VISMA | LEASE A BIKE;85h 02' 07'';+ 01h 23' 11''
22;JULIEN BERNARD;LIDL-TREK;85h 16' 11'';+ 01h 37' 15''
23;JAVIER ROMO OLIVER;MOVISTAR TEAM;85h 21' 22'';+ 01h 42' 26''
24;CARLOS VERONA QUINTANILLA;LIDL-TREK;85h 26' 09'';+ 01h 47' 13''
25;VALENTIN MADOUAS;GROUPAMA-FDJ;85h 30' 55'';+ 01h 51' 59''
26;ILAN VAN WILDER;SOUDAL QUICK-STEP;85h 33' 26'';+ 01h 54' 30''
27;BEN HEALY;EF EDUCATION - EASYPOST;85h 35' 08'';+ 01h 56' 12''
28;JORDAN JEGAT;TOTALENERGIES;85h 41' 32'';+ 02h 02' 36''
29;EGAN BERNAL GOMEZ;INEOS GRENADIERS;85h 42' 46'';+ 02h 03' 50''
30;ROMAIN BARDET;TEAM DSM-FIRMENICH POSTNL;85h 43' 21'';+ 02h 04' 25''
31;JACK HAIG;BAHRAIN VICTORIOUS;85h 50' 29'';+ 02h 11' 33''
32;PAVEL SIVAKOV;UAE TEAM EMIRATES;85h 53' 17'';+ 02h 14' 21''
33;BRUNO ARMIRAIL;DECATHLON AG2R LA MONDIALE TEAM;85h 54' 35'';+ 02h 15' 39''
34;ODD CHRISTIAN EIKING;UNO-X MOBILITY;85h 57' 30'';+ 02h 18' 34''
35;TOBIAS HALLAND JOHANNESSEN;UNO-X MOBILITY;86h 00' 33'';+ 02h 21' 37''
36;CRISTIAN RODRIGUEZ MARTIN;ARKEA-B&B HOTELS;86h 05' 55'';+ 02h 26' 59''
37;BOB JUNGELS;RED BULL - BORA - HANSGROHE;86h 08' 01'';+ 02h 29' 05''
38;JAKOB FUGLSANG;ISRAEL - PREMIER TECH;86h 10' 38'';+ 02h 31' 42''
39;EDGAR OSCAR ONLEY;TEAM DSM-FIRMENICH POSTNL;86h 20' 35'';+ 02h 41' 39''
40;WARREN BARGUIL;TEAM DSM-FIRMENICH POSTNL;86h 21' 09'';+ 02h 42' 13''
41;ROMAIN GREGOIRE;GROUPAMA-FDJ;86h 22' 37'';+ 02h 43' 41''
42;GERAINT THOMAS;INEOS GRENADIERS;86h 26' 32'';+ 02h 47' 36''
43;WOUT POELS;BAHRAIN VICTORIOUS;86h 33' 48'';+ 02h 54' 52''
44;MARC SOLER;UAE TEAM EMIRATES;86h 34' 43'';+ 02h 55' 47''
45;TOMS SKUJINS;LIDL-TREK;86h 35' 58'';+ 02h 57' 02''
46;QUENTIN PACHER;GROUPAMA-FDJ;86h 54' 03'';+ 03h 15' 07''
47;JOHANNES KULSET;UNO-X MOBILITY;86h 56' 38'';+ 03h 17' 42''
48;NICOLAS PRODHOMME;DECATHLON AG2R LA MONDIALE TEAM;86h 58' 21'';+ 03h 19' 25''
49;TIESJ BENOOT;TEAM VISMA | LEASE A BIKE;87h 05' 07'';+ 03h 26' 11''
50;HUGO HOULE;ISRAEL - PREMIER TECH;87h 05' 51'';+ 03h 26' 55''
51;NELSON OLIVEIRA;MOVISTAR TEAM;87h 12' 50'';+ 03h 33' 54''
52;WOUT VAN AERT;TEAM VISMA | LEASE A BIKE;87h 14' 52'';+ 03h 35' 56''
53;JONATHAN CASTROVIEJO NICOLAS;INEOS GRENADIERS;87h 14' 54'';+ 03h 35' 58''
54;MICHAL KWIATKOWSKI;INEOS GRENADIERS;87h 15' 30'';+ 03h 36' 34''
55;JONAS ABRAHAMSEN;UNO-X MOBILITY;87h 17' 54'';+ 03h 38' 58''
56;GREGOR MÜHLBERGER;MOVISTAR TEAM;87h 19' 13'';+ 03h 40' 17''
57;MAGNUS CORT NIELSEN;UNO-X MOBILITY;87h 20' 53'';+ 03h 41' 57''
58;KÉVIN GENIETS;GROUPAMA-FDJ;87h 23' 15'';+ 03h 44' 19''
59;NEILSON POWLESS;EF EDUCATION - EASYPOST;87h 24' 20'';+ 03h 45' 24''
60;MATTEO SOBRERO;RED BULL - BORA - HANSGROHE;87h 25' 42'';+ 03h 46' 46''
61;JASPER STUYVEN;LIDL-TREK;87h 26' 35'';+ 03h 47' 39''
62;FRANK VAN DEN BROEK;TEAM DSM-FIRMENICH POSTNL;87h 26' 58'';+ 03h 48' 02''
63;MATHIEU BURGAUDEAU;TOTALENERGIES;87h 27' 13'';+ 03h 48' 17''
64;JAN TRATNIK;TEAM VISMA | LEASE A BIKE;87h 27' 30'';+ 03h 48' 34''
65;DAVID GAUDU;GROUPAMA-FDJ;87h 28' 19'';+ 03h 49' 23''
